ID,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
1,94.62,97.85,94.62,93.55,97.85,93.55,96.77,94.62,97.85
2,100,100,100,100,100,100,100,100,100
3,100,100,100,100,100,100,100,98,100
4,97.83,98.91,98.91,98.91,98.91,98.91,98.91,97.83,97.83
5,98.08,98.47,97.32,98.08,98.08,98.08,98.85,98.08,98.08
6,98.54,98.54,99.03,98.54,99.03,99.03,99.51,98.54,98.54
7,100,100,100,100,100,100,100,100,100
8,100,100,100,100,100,100,100,100,100
9,81.67,81.11,82.22,81.67,81.11,81.11,82.22,82.22,82.22
10,100,98.1,100,99.37,96.2,100,100,100,100
11,96.17,96.17,96.17,96.17,96.17,96.17,96.17,96.72,96.72
12,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45
13,100,100,100,100,100,100,100,100,100
14,100,100,100,100,100,100,100,100,100
15,97.97,100,100,98.65,98.65,100,100,100,98.65
16,100,100,100,100,100,100,100,100,100
17,89.8,89.8,89.8,89.8,89.8,89.8,91.84,89.8,89.8
18,93.48,93.48,93.48,93.48,93.48,93.48,93.48,93.48,93.48
19,100,99.49,100,100,100,100,100,100,100
20,95.72,97.86,97.86,98.93,98.93,98.4,98.93,98.4,95.72
21,94.39,93.88,94.9,94.39,93.88,93.88,94.39,93.37,94.39
22,77.53,79.21,76.97,78.65,78.65,77.53,80.34,78.65,78.09
23,100,100,100,100,100,100,100,100,100
24,100,100,100,100,100,100,100,100,100
25,100,98.81,100,100,100,100,100,100,98.81
26,92.47,92.47,90.32,90.32,89.25,92.47,91.4,91.4,90.32
27,100,100,100,100,100,100,100,100,100
28,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24
29,77.98,85.71,73.81,62.5,72.62,62.5,62.5,70.24,63.69
30,97.52,98.35,97.52,98.35,98.35,98.35,97.52,98.35,98.35
31,77.16,77.16,76.54,76.54,76.54,77.78,79.01,75.93,77.16
32,100,100,100,100,100,100,100,100,100
33,100,100,100,100,100,100,100,100,100
34,100,100,100,100,100,100,100,100,100
35,100,100,100,100,100,100,100,100,100
36,100,100,100,100,100,100,100,100,100
37,100,100,100,99.16,100,100,99.16,100,100
38,93.9,92.07,92.07,93.29,93.9,92.68,92.68,92.07,93.9
39,96.71,96.71,96.71,96.71,96.71,97.37,98.03,96.71,96.71
40,100,100,100,100,100,100,100,100,100
