ID,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Mean Score,Min,Max
1,94.62,97.85,94.62,93.55,97.85,93.55,96.77,94.62,97.85,95.70,93.55,97.85
2,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
3,100,100,100,100,100,100,100,98,100,99.78,98.00,100.00
4,97.83,98.91,98.91,98.91,98.91,98.91,98.91,97.83,97.83,98.55,97.83,98.91
5,98.08,98.47,97.32,98.08,98.08,98.08,98.85,98.08,98.08,98.12,97.32,98.85
6,98.54,98.54,99.03,98.54,99.03,99.03,99.51,98.54,98.54,98.81,98.54,99.51
7,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
8,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
9,81.67,81.11,82.22,81.67,81.11,81.11,82.22,82.22,82.22,81.73,81.11,82.22
10,100,98.1,100,99.37,96.2,100,100,100,100,99.30,96.20,100.00
11,96.17,96.17,96.17,96.17,96.17,96.17,96.17,96.72,96.72,96.29,96.17,96.72
12,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45
13,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
14,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
15,97.97,100,100,98.65,98.65,100,100,100,98.65,99.32,97.97,100.00
16,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
17,89.8,89.8,89.8,89.8,89.8,89.8,91.84,89.8,89.8,90.03,89.80,91.84
18,93.48,93.48,93.48,93.48,93.48,93.48,93.48,93.48,93.48,93.48,93.48,93.48
19,100,99.49,100,100,100,100,100,100,100,99.94,99.49,100.00
20,95.72,97.86,97.86,98.93,98.93,98.4,98.93,98.4,95.72,97.86,95.72,98.93
21,94.39,93.88,94.9,94.39,93.88,93.88,94.39,93.37,94.39,94.16,93.37,94.90
22,77.53,79.21,76.97,78.65,78.65,77.53,80.34,78.65,78.09,78.40,76.97,80.34
23,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
24,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
25,100,98.81,100,100,100,100,100,100,98.81,99.74,98.81,100.00
26,92.47,92.47,90.32,90.32,89.25,92.47,91.4,91.4,90.32,91.16,89.25,92.47
27,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
28,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24,99.24
29,77.98,85.71,73.81,62.5,72.62,62.5,62.5,70.24,63.69,70.17,62.50,85.71
30,97.52,98.35,97.52,98.35,98.35,98.35,97.52,98.35,98.35,98.07,97.52,98.35
31,77.16,77.16,76.54,76.54,76.54,77.78,79.01,75.93,77.16,77.09,75.93,79.01
32,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
33,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
34,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
35,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
36,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
37,100,100,100,99.16,100,100,99.16,100,100,99.81,99.16,100.00
38,93.9,92.07,92.07,93.29,93.9,92.68,92.68,92.07,93.9,92.95,92.07,93.90
39,96.71,96.71,96.71,96.71,96.71,97.37,98.03,96.71,96.71,96.93,96.71,98.03
40,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
